age,balance,day,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
46,137,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,yes,unknown,may,unknown,no
51,173,5,2,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
56,45,5,1,0,0,middle-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,yes
41,1270,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,yes
46,16,5,2,0,0,high-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
57,486,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
42,50,5,1,0,0,high-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
30,152,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
60,290,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
60,54,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
57,-37,5,1,0,0,high-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
36,101,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,yes,unknown,may,unknown,no
55,383,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
60,81,5,1,0,0,low-None-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
39,0,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
46,229,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
44,-674,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,90,5,1,0,0,low-None-skill-levels,Partnered,primary,no,no,no,unknown,may,unknown,no
52,128,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
59,179,5,3,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
27,0,5,1,0,0,middle-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
44,54,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
47,151,5,1,0,0,middle-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
34,61,5,1,0,0,middle-skill-levels,Partnered,secondary,no,no,yes,unknown,may,unknown,no
59,30,5,1,0,0,low-None-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
45,523,5,2,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
29,31,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
46,79,5,1,0,0,middle-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
56,-34,5,2,0,0,high-skill-levels,Partnered,primary,no,yes,yes,unknown,may,unknown,no
36,448,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
59,81,5,1,0,0,low-None-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
44,144,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
41,351,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,-67,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
59,262,5,1,0,0,high-skill-levels,Alone,tertiary,no,no,no,unknown,may,unknown,no
57,0,5,1,0,0,middle-skill-levels,Partnered,primary,no,no,no,unknown,may,unknown,no
56,56,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
51,26,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
34,3,5,3,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
43,41,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
52,7,5,1,0,0,middle-skill-levels,Partnered,tertiary,no,no,yes,unknown,may,unknown,no
33,105,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
29,818,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
34,-16,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
31,0,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
55,2476,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,yes
55,1185,5,1,0,0,high-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
32,217,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
38,1685,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
55,802,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
28,0,5,2,0,0,low-None-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
23,94,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
32,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
43,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
32,517,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
46,265,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,947,5,1,0,0,middle-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
34,3,5,1,0,0,high-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
57,42,5,1,0,0,low-None-skill-levels,Partnered,tertiary,no,no,no,unknown,may,unknown,no
37,37,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
59,57,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,22,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
56,8,5,2,0,0,low-None-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
48,293,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
43,3,5,2,0,0,middle-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
54,348,5,2,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
51,-19,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
26,0,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
40,-4,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
39,18,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
50,139,5,2,0,0,middle-skill-levels,Partnered,primary,no,no,no,unknown,may,unknown,no
41,0,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,1883,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
60,216,5,1,0,0,low-None-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
52,782,5,3,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
48,904,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
48,1705,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
39,47,5,1,0,0,middle-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
47,176,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
40,1225,5,5,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
45,86,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
26,82,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
52,271,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
54,1378,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
54,184,5,2,0,0,middle-skill-levels,Partnered,tertiary,no,no,no,unknown,may,unknown,yes
50,0,5,3,0,0,low-None-skill-levels,Partnered,primary,no,no,no,unknown,may,unknown,no
35,0,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
44,1357,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
53,19,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
35,434,5,1,0,0,low-None-skill-levels,Alone,primary,no,no,no,unknown,may,unknown,no
60,92,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
53,1151,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
48,41,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
34,51,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
54,214,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,1161,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
31,37,5,1,0,0,middle-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
35,787,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
35,59,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
38,253,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
36,211,5,2,0,0,middle-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
58,235,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
40,4384,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
54,4080,5,1,0,0,high-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
34,53,5,1,0,0,low-None-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
31,0,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
51,2127,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,377,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
55,73,5,2,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
42,445,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
34,243,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,307,5,2,0,0,low-None-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
38,155,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
50,173,5,1,0,0,middle-skill-levels,Alone,tertiary,no,no,yes,unknown,may,unknown,no
43,400,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
61,1428,5,2,0,0,low-None-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
47,219,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
48,7,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
44,575,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
35,298,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
35,0,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
50,5699,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
41,176,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,yes,unknown,may,unknown,no
41,517,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
39,257,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
42,56,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
38,-390,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,330,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
59,195,5,2,0,0,middle-skill-levels,Alone,primary,no,no,no,unknown,may,unknown,no
36,301,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
54,-41,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
40,483,5,1,0,0,middle-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
47,28,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
53,13,5,3,0,0,low-None-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
46,965,5,1,0,0,middle-skill-levels,Partnered,primary,no,no,no,unknown,may,unknown,no
39,378,5,2,0,0,high-skill-levels,Partnered,tertiary,no,yes,yes,unknown,may,unknown,no
40,219,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
28,324,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
35,-69,5,1,0,0,high-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
55,0,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,no,yes,unknown,may,unknown,no
43,205,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
48,278,5,2,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
58,1065,5,3,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,34,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
36,1033,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
53,1467,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
47,-12,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
31,388,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
57,294,5,2,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,1827,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
55,627,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
45,25,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
53,315,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
37,0,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
44,66,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
49,-9,5,1,0,0,low-None-skill-levels,Alone,primary,no,yes,yes,unknown,may,unknown,no
46,349,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
43,100,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
38,0,5,1,0,0,middle-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
43,434,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
49,3237,5,3,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
42,275,5,2,0,0,high-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
22,0,5,2,0,0,low-None-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
40,207,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
39,483,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,2248,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
49,428,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,0,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
34,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
33,140,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
50,297,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
39,279,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
59,901,5,3,0,0,high-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
30,2573,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
36,143,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
40,475,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,70,5,2,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
34,318,5,2,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
37,275,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
42,742,5,3,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
41,236,5,1,0,0,high-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
30,25,5,2,0,0,middle-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
37,600,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
39,-349,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
41,183,5,2,0,0,low-None-skill-levels,Partnered,primary,no,yes,yes,unknown,may,unknown,no
40,0,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
42,0,5,2,0,0,high-skill-levels,Alone,tertiary,no,yes,yes,unknown,may,unknown,yes
40,0,5,1,0,0,low-None-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
57,1078,5,4,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
56,155,5,3,0,0,high-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
37,190,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
59,319,5,3,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
39,-185,5,3,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
49,47,5,2,0,0,middle-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
38,570,5,2,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
36,19,5,2,0,0,high-skill-levels,Partnered,tertiary,no,no,no,unknown,may,unknown,no
50,61,5,3,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
41,-62,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
54,258,5,4,0,0,middle-skill-levels,Partnered,tertiary,no,no,no,unknown,may,unknown,no
